observation_date,EXKOUS
2015-01-01,1088.1300
2015-02-01,1101.4605
2015-03-01,1112.9005
2015-04-01,1084.6709
2015-05-01,1092.6365
2015-06-01,1112.8832
2015-07-01,1146.5468
2015-08-01,1178.1438
2015-09-01,1184.3300
2015-10-01,1143.1990
2015-11-01,1153.4721
2015-12-01,1169.9464
2016-01-01,1203.3179
2016-02-01,1216.2285
2016-03-01,1181.5730
2016-04-01,1145.7967
2016-05-01,1173.7905
2016-06-01,1165.2023
2016-07-01,1140.8650
2016-08-01,1110.0183
2016-09-01,1108.3638
2016-10-01,1128.1660
2016-11-01,1162.7080
2016-12-01,1183.0700
2017-01-01,1179.1074
2017-02-01,1140.4874
2017-03-01,1133.8617
2017-04-01,1134.1755
2017-05-01,1125.1359
2017-06-01,1130.8464
2017-07-01,1131.7460
2017-08-01,1130.2700
2017-09-01,1131.5990
2017-10-01,1130.8838
2017-11-01,1099.7945
2017-12-01,1082.9020
2018-01-01,1065.6410
2018-02-01,1078.4747
2018-03-01,1069.9418
2018-04-01,1068.0452
2018-05-01,1076.6595
2018-06-01,1094.3552
2018-07-01,1122.2029
2018-08-01,1120.4270
2018-09-01,1119.8200
2018-10-01,1131.6150
2018-11-01,1125.3450
2018-12-01,1122.4244
2019-01-01,1120.3300
2019-02-01,1121.8333
2019-03-01,1131.6005
2019-04-01,1142.1650
2019-05-01,1182.9527
2019-06-01,1173.7845
2019-07-01,1177.2345
2019-08-01,1210.3782
2019-09-01,1194.1145
2019-10-01,1183.4473
2019-11-01,1167.2989
2019-12-01,1174.7052
2020-01-01,1167.4624
2020-02-01,1195.3358
2020-03-01,1218.1945
2020-04-01,1223.1309
2020-05-01,1228.1340
2020-06-01,1206.9459
2020-07-01,1198.6186
2020-08-01,1186.8562
2020-09-01,1176.8619
2020-10-01,1143.7681
2020-11-01,1116.0978
2020-12-01,1093.7876
2021-01-01,1098.2367
2021-02-01,1111.8137
2021-03-01,1130.2543
2021-04-01,1117.8555
2021-05-01,1123.6565
2021-06-01,1122.6073
2021-07-01,1146.3948
2021-08-01,1160.9945
2021-09-01,1172.8190
2021-10-01,1181.8900
2021-11-01,1184.0600
2021-12-01,1183.8871
2022-01-01,1196.0345
2022-02-01,1199.1226
2022-03-01,1220.8409
2022-04-01,1235.1533
2022-05-01,1268.8081
2022-06-01,1277.4057
2022-07-01,1308.0295
2022-08-01,1319.4122
2022-09-01,1396.3729
2022-10-01,1426.0650
2022-11-01,1361.7900
2022-12-01,1293.5629
2023-01-01,1243.0705
2023-02-01,1275.4205
2023-03-01,1306.0161
2023-04-01,1322.0570
2023-05-01,1327.4800
2023-06-01,1297.2514
2023-07-01,1282.2835
2023-08-01,1321.7561
2023-09-01,1334.2370
2023-10-01,1351.5071
2023-11-01,1308.1540
2023-12-01,1304.3945
2024-01-01,1325.9119
2024-02-01,1331.3345
2024-03-01,1331.6752
2024-04-01,1367.8555
2024-05-01,1364.7241
2024-06-01,1379.0526
2024-07-01,1382.0473
2024-08-01,1351.4436
2024-09-01,1330.6985
2024-10-01,1362.3691
2024-11-01,1395.0200
2024-12-01,1439.9967
